1,029609	1,951468	OTWORZ
3,100800	3,938853	WLACZ
4,944518	5,986099	SWIATLO
6,991764	8,129123	TELEWIZOR
9,338315	10,487646	ZAMKNIJ
11,613033	12,618698	KUCHNI
13,612390	14,127195	NA
15,360331	16,078663	DRZWI
17,192078	18,269576	LAZIENCE
19,550601	20,556266	WYLACZ
21,801374	22,220401	W
23,908481	24,590897	OKNO
25,883894	27,176892	PIEKARNIK
28,565667	29,499498	ROLETY
30,828412	32,372826	TEMPERATURE
33,186936	34,372183	RADIO
35,868708	36,287735	DO
37,748343	38,634286	POKOJU
40,358283	41,136476	USTAW
42,417501	43,554860	SYPIALNI
44,847857	45,685911	PRALKE
47,134547	48,307823	GARAZU
49,672654	50,486763	ALARM
51,803705	52,761481	BRAME
54,281950	55,203810	CZAJNIK
56,317224	57,059500	ZGAS
58,424331	59,298302	ZAPAL
60,471577	61,441325	SALONIE
62,997711	63,811821	WODE
65,188624	66,278094	KOMPUTER
67,750674	68,720422	PODNIES
69,821865	70,887390	ZWIEKSZ
71,976860	73,078303	OGRZEWANIE
74,275523	75,520631	PRZEDPOKOJU
76,729823	78,262265	KLIMATYZACJE
79,375679	80,129928	ZMIEN
81,578564	82,308868	OKNA
83,661727	84,894863	MUZYKE
86,116027	87,444941	ZMYWARKE
89,013300	90,006992	PIWNICY
91,730989	92,832431	ZMNIEJSZ
93,981762	94,963482	ZASLON
96,208591	97,010728	KANAL
98,471337	99,369252	OPUSC
100,566472	101,536220	ZASUN
102,805273	103,798965	LODOWKE
105,151824	106,277210	ZAGOTUJ
107,857541	108,647706	PODLEJ
110,156203	111,054118	BUDZIK
112,442893	113,496446	ZALUZJE
114,933110	116,250052	PODGLOSNIJ
117,471217	118,273354	KAWE
119,674101	120,021295	O
121,865014	122,822790	ODSLON
124,211565	125,253146	EKSPRES
126,534171	127,252503	JEDEN
128,713111	129,814554	KORYTARZU
131,215301	132,208994	GARAZ
133,442130	134,471739	STRYCHU
135,956292	137,165484	PRZYCIEMNIJ
138,673981	139,655701	PRZYCISZ
141,116310	141,858586	UCHYL
143,187500	144,372748	ROZJASNIJ
145,689690	146,803104	ZABLOKUJ
148,012296	149,053878	STOPNI
150,442653	151,196901	ZROB
152,465954	153,220203	DOMU
154,417423	155,459004	HERBATE
156,704113	157,709777	SPRAWDZ
158,787275	159,828857	PRZYGOTUJ
161,002132	161,983852	SCHODACH
163,516294	164,258570	PODAJ
165,551568	166,676954	SUSZARKE
168,017841	169,059422	WEJSCIOWE
170,280586	171,489778	LAZIENKI
172,639110	173,441247	WODY
174,602550	175,727937	ZEWNATRZ
176,996990	177,547711	DWA
179,535096	180,421039	ZADZWON
181,642203	182,504202	SPUSC
183,749310	184,623281	CZTERY
186,059945	187,125470	GLOSNIEJ
188,250857	189,184689	PROGRAM
190,130492	191,016435	SCISZ
192,201683	193,111570	STOPIEN
194,165123	194,560206	Z
195,937009	197,194090	GARDEROBIE
198,403282	199,576557	ZAKREC
200,570250	201,504081	LAMPKE
202,785107	203,766827	TARASIE
204,964047	205,814073	LOZKO
207,083126	208,304290	GABINECIE
209,441649	210,590980	KWIATKI
211,656506	212,805837	OSWIETLENIE
214,134751	214,733361	TRZY
216,050303	217,079912	STACJE
218,049660	219,187019	ODBLOKUJ
220,288462	221,246237	PALNIK
222,431485	223,233622	CISZEJ
224,610425	225,460452	OKAP
